FullGeneName,GeneID,SortIndex,Uniprot ID,GeneName,Length (bp),PZ,OrthologID_D,OrthologID_CM,Product,Mass (kD),Function,Mem true,Hyp true,DNA true,Secr true,Inc true,Protein Family,EB,RB,Microarray,PDB ID,PDB,PDBImageURL,AlphaFold ID,AFImageURL,Version,Structural homology (Foldseek),Biological Process,Cellular Component,Molecular Function,Subcellular Location,Subunit Structure,LastEdited,EditedByName,Favorite
infC CTL0205,CTL0205,204,A0A0H3MGF6,infC,186,,CT833,TC0221,Translation initiation factor IF-3,21.1,Translation,FALSE,FALSE,FALSE,FALSE,FALSE,IF-3 family,53,69,Constitutive,,,,A0A0H3MGF6,,,,,cytoplasm [GO:0005737],translation initiation factor activity [GO:0003743],"Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00080, ECO:0000256|RuleBase:RU000646}.","Monomer. {ECO:0000256|HAMAP-Rule:MF_00080, ECO:0000256|RuleBase:RU000646}.",,,
rpmI CTL0206,CTL0206,205,A0A0H3MCP7,rpmI,61,,CT834,TC0222,Large ribosomal subunit protein bL35,7.0,Translation,FALSE,FALSE,FALSE,FALSE,FALSE,Bacterial ribosomal protein bL35 family,ND,ND,Constitutive,,,,A0A0H3MCP7,,,,translation [GO:0006412],ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840],structural constituent of ribosome [GO:0003735],,,,,
rplT CTL0207,CTL0207,206,B0B964,rplT,123,,CT835,TC0223,Large ribosomal subunit protein bL20 (50S ribosomal protein L20),13.9,Translation,FALSE,FALSE,FALSE,FALSE,FALSE,Bacterial ribosomal protein bL20 family,14,23,Constitutive,,,,B0B964,,,,translation [GO:0006412],ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840],rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735],,,,,
pheS CTL0208,CTL0208,207,A0A0H3MK87,pheS,342,,CT836,TC0224,Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS),38.7,Translation,FALSE,FALSE,FALSE,FALSE,FALSE,"Class-II aminoacyl-tRNA synthetase family, Phe-tRNA synthetase alpha subunit type 1 subfamily",ND,NQ,Constitutive,,,,A0A0H3MK87,,,,phenylalanyl-tRNA aminoacylation [GO:0006432],cytoplasm [GO:0005737],ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; phenylalanine-tRNA ligase activity [GO:0004826]; tRNA binding [GO:0000049],"Cytoplasm {ECO:0000256|ARBA:ARBA00004496, ECO:0000256|HAMAP-Rule:MF_00281}.","Tetramer of two alpha and two beta subunits. {ECO:0000256|ARBA:ARBA00011209, ECO:0000256|HAMAP-Rule:MF_00281}.",,,
 CTL0209,CTL0209,208,A0A0H3MBF6,,658,,CT837,TC0225,Calcium binding EF-hand protein,76.4,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,41,ND,ND,,,,A0A0H3MBF6,,,,,,,,,,,
 CTL0210,CTL0210,209,A0A0H3MB07,,366,,CT838,TC0226,Membrane transport protein,41.6,Membrane transport,TRUE,FALSE,FALSE,FALSE,FALSE,,ND,ND,Constitutive,,,,A0A0H3MB07,,,,,plasma membrane [GO:0005886],,Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.,,,,
 CTL0211,CTL0211,210,A0A0H3MGG0,,354,,CT839,TC0227,Membrane transport protein,40.0,Membrane transport,TRUE,FALSE,FALSE,FALSE,FALSE,,ND,ND,ND,,,,A0A0H3MGG0,,,,,plasma membrane [GO:0005886],,Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.,,,,
tilS CTL0212,CTL0212,211,B0B969,tilS,321,,CT840,TC0228,tRNA(Ile)-lysidine synthase (EC 6.3.4.19) (tRNA(Ile)-2-lysyl-cytidine synthase) (tRNA(Ile)-lysidine synthetase),37.2,Translation,FALSE,FALSE,FALSE,FALSE,FALSE,TRNA(Ile)-lysidine synthase family,ND,ND,Late,,,,B0B969,,,,tRNA modification [GO:0006400],cytoplasm [GO:0005737],"ATP binding [GO:0005524]; ligase activity, forming carbon-nitrogen bonds [GO:0016879]",Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01161}.,,,,
ftsH CTL0213,CTL0213,212,B0B970,ftsH,913,,CT841,TC0229,ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-),101.8,Cell processes,FALSE,FALSE,FALSE,FALSE,FALSE,AAA ATPase family; Peptidase M41 family,120,180,Late,,,,B0B970,,,,protein catabolic process [GO:0030163]; proteolysis [GO:0006508],plasma membrane [GO:0005886],ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent peptidase activity [GO:0004176]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270],Cell inner membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}; Cytoplasmic side {ECO:0000250}.,Homohexamer. {ECO:0000305}.,,,
pnp CTL0214,CTL0214,213,B0B971,pnp,695,,CT842,TC0230,Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase),75.4,Transcription,FALSE,FALSE,TRUE,FALSE,FALSE,Polyribonucleotide nucleotidyltransferase family,82,82,Mid_Late,,,,B0B971,,,,mRNA catabolic process [GO:0006402]; RNA processing [GO:0006396],cytoplasm [GO:0005737],magnesium ion binding [GO:0000287]; polyribonucleotide nucleotidyltransferase activity [GO:0004654]; RNA binding [GO:0003723],Cytoplasm {ECO:0000255|HAMAP-Rule:MF_01595}.,,,,
rpsO CTL0215,CTL0215,214,B0B972,rpsO,89,,CT843,TC0231,Small ribosomal subunit protein uS15 (30S ribosomal protein S15),10.4,Translation,FALSE,FALSE,FALSE,FALSE,FALSE,Universal ribosomal protein uS15 family,49,93,ND,,,,B0B972,,,,translation [GO:0006412],cytoplasm [GO:0005737]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840],rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735],,"Part of the 30S ribosomal subunit. Forms a bridge to the 50S subunit in the 70S ribosome, contacting the 23S rRNA. {ECO:0000255|HAMAP-Rule:MF_01343}.",,,
tadA CTL0216,CTL0216,215,A0A0H3MCQ1,tadA,163,,CT844,TC0232,tRNA-specific adenosine deaminase (EC 3.5.4.33),18.5,Nucleotide metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,Cytidine and deoxycytidylate deaminase family,ND,ND,ND,,,,A0A0H3MCQ1,,,,tRNA wobble adenosine to inosine editing [GO:0002100],,tRNA-specific adenosine-34 deaminase activity [GO:0052717]; zinc ion binding [GO:0008270],,"Homodimer. {ECO:0000256|ARBA:ARBA00011738, ECO:0000256|HAMAP-Rule:MF_00972}.",,,
 CTL0217,CTL0217,216,A0A0H3MK92,,72,,CT845,TC0233,Uncharacterized protein,8.0,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,ND,ND,ND,,,,A0A0H3MK92,,,,,,,,,,,
 CTL0218,CTL0218,217,A0A0H3MBG0,,234,,CT846,TC0234,Integral membrane protein,26.9,Inclusion membrane protein,TRUE,FALSE,FALSE,TRUE,TRUE,,ND,ND,Constitutive,,,,A0A0H3MBG0,,,,,membrane [GO:0016020],,,,,,
 CTL0219,CTL0219,218,A0A0H3MB10,,172,,CT847,TC0235,Uncharacterized protein,18.9,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,ND,ND,Constitutive,,,,A0A0H3MB10,,,,,,,,,,,
 CTL0220,CTL0220,219,A0A0H3MGG4,,168,,CT848,TC0236,Uncharacterized protein,18.3,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,ND,ND,Late,,,,A0A0H3MGG4,,,,,,,,,,,
 CTL0221,CTL0221,220,A0A0H3MCQ5,,159,,CT849,TC0237,DUF720 domain-containing protein,17.5,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,6,ND,,,,,A0A0H3MCQ5,,,,,,,,,,,
 CTL0222,CTL0222,221,A0A0H3MK96,,62,,CT849,TC0238,Uncharacterized protein,6.8,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,ND,NQ,ND,,,,A0A0H3MK96,,,,,,,,,,,
 CTL0223,CTL0223,222,A0A0H3MBG2,,405,,CT850,TC0239,Integral membrane protein,45.9,Inclusion membrane protein,TRUE,FALSE,FALSE,TRUE,TRUE,,ND,ND,Constitutive,,,,A0A0H3MBG2,,,,,membrane [GO:0016020],,,,,,
map CTL0224,CTL0224,223,A0A0H3MB11,map,291,,CT851,TC0240,Methionine aminopeptidase (MAP) (MetAP) (EC 3.4.11.18) (Peptidase M),32.6,Translation,FALSE,FALSE,FALSE,FALSE,FALSE,"Peptidase M24A family, Methionine aminopeptidase type 1 subfamily",34,ND,ND,,,,A0A0H3MB11,,,,proteolysis [GO:0006508],,initiator methionyl aminopeptidase activity [GO:0004239]; metalloaminopeptidase activity [GO:0070006]; transition metal ion binding [GO:0046914],,Monomer. {ECO:0000256|HAMAP-Rule:MF_01974}.,,,
 CTL0225,CTL0225,224,A0A0H3MGG9,,213,,CT852,TC0241,UPF0056 inner membrane protein,23.8,Unknown,TRUE,TRUE,FALSE,FALSE,FALSE,UPF0056 (MarC) family,ND,NQ,Constitutive,,,,A0A0H3MGG9,,,,,plasma membrane [GO:0005886],,Cell inner membrane {ECO:0000256|RuleBase:RU362048}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU362048}. Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.,,,,
 CTL0226,CTL0226,225,A0A0H3MCR0,,199,,CT853,TC0242,UPF0056 inner membrane protein,21.2,Unknown,TRUE,TRUE,FALSE,FALSE,FALSE,UPF0056 (MarC) family,ND,NQ,Constitutive,,,,A0A0H3MCR0,,,,,plasma membrane [GO:0005886],,Cell inner membrane {ECO:0000256|RuleBase:RU362048}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU362048}. Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.,,,,
 CTL0227,CTL0227,226,A0A0H3MKA1,,589,,CT854,TC0243,ABC transporter permease,65.1,Membrane transport,TRUE,FALSE,FALSE,FALSE,FALSE,Binding-protein-dependent transport system permease family,ND,ND,Constitutive,,,,A0A0H3MKA1,,,,transmembrane transport [GO:0055085],plasma membrane [GO:0005886],,Cell membrane {ECO:0000256|RuleBase:RU363032}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU363032}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.,,,,
 CTL0231,CTL0231,227,A0A0H3MBG6,,567,,CT856,TC0245,Sulfate transporter,61.7,Membrane transport,TRUE,FALSE,FALSE,FALSE,FALSE,SLC26A/SulP transporter (TC 2.A.53) family,ND,ND,Constitutive,,,,A0A0H3MBG6,,,,inorganic anion transmembrane transport [GO:0098661],membrane [GO:0016020],monoatomic anion transmembrane transporter activity [GO:0008509],"Membrane {ECO:0000256|ARBA:ARBA00004141, ECO:0000256|RuleBase:RU362052}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141, ECO:0000256|RuleBase:RU362052}.",,,,
 CTL0232,CTL0232,228,A0A0H3MCR3,,421,,CT857,TC0247,Membrane transport protein,45.9,Membrane transport,TRUE,FALSE,FALSE,FALSE,FALSE,NhaD Na(+)/H(+) (TC 2.A.62) antiporter family,ND,ND,Constitutive,,,,A0A0H3MCR3,,,,sodium ion transport [GO:0006814],membrane [GO:0016020],antiporter activity [GO:0015297],Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.,,,,
cpa CTL0233,CTL0233,229,A0A0H3MKA6,cpa,601,,CT858,TC0248,Exported protease,67.3,Secreted effector,FALSE,FALSE,FALSE,TRUE,FALSE,,ND,ND,Constitutive,,,,A0A0H3MKA6,,,,proteolysis [GO:0006508],,serine-type peptidase activity [GO:0008236],,,,,
ispH CTL0234,CTL0234,230,B0B991,ispH,307,,CT859,TC0249,4-hydroxy-3-methylbut-2-enyl diphosphate reductase (HMBPP reductase) (EC 1.17.7.4),34.3,Inermediary metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,IspH family,87,126,Constitutive,,,,B0B991,,,,"dimethylallyl diphosphate biosynthetic process [GO:0050992]; isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]",,"4 iron, 4 sulfur cluster binding [GO:0051539]; 4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity [GO:0051745]; metal ion binding [GO:0046872]",,,,,
copD2 CTL0235,CTL0235,231,A0A0H3MBG9,copD2,493,,CT860,TC0250,Uncharacterized protein,55.0,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,ND,ND,Constitutive,,,,A0A0H3MBG9,,,,,,,,,,,
copB2 CTL0236,CTL0236,232,A0A0H3MB18,copB2,506,,CT861,TC0251,Type III secretion translocator,56.5,Type III secretion,FALSE,FALSE,FALSE,FALSE,FALSE,,ND,ND,ND,,,,A0A0H3MB18,,,,,membrane [GO:0016020],,,,,,
lcrH CTL0237,CTL0237,233,A0A0H3MGI0,lcrH,198,,CT862,TC0252,Type III secretion chaperone,23.3,Type III secretion,FALSE,FALSE,FALSE,FALSE,FALSE,LcrH/SycD chaperone family,NQ,ND,ND,,,,A0A0H3MGI0,,,,,,protein serine/threonine kinase activity [GO:0004674],,,,,
 CTL0238,CTL0238,234,A0A0H3MCR8,,482,,CT863,TC0253,Uncharacterized protein,53.6,Type III secretion,FALSE,TRUE,FALSE,FALSE,FALSE,,ND,ND,Constitutive,,,,A0A0H3MCR8,,,,,,,,,8/11/2025 11:17:55,Kevin,
xerD CTL0243,CTL0243,235,A0A0H3MKB1,xerD,300,,CT864,TC0255,Tyrosine recombinase XerD,34.6,Replication,FALSE,FALSE,TRUE,FALSE,FALSE,"'phage' integrase family, XerD subfamily",ND,ND,Late,,,,A0A0H3MKB1,,,,cell division [GO:0051301]; chromosome segregation [GO:0007059]; DNA transposition [GO:0006313],cytoplasm [GO:0005737],DNA binding [GO:0003677]; tyrosine-based site-specific recombinase activity [GO:0009037],"Cytoplasm {ECO:0000256|ARBA:ARBA00004496, ECO:0000256|HAMAP-Rule:MF_01807}.",Forms a cyclic heterotetrameric complex composed of two molecules of XerC and two molecules of XerD. {ECO:0000256|HAMAP-Rule:MF_01807}.,,,
 CTL0244,CTL0244,236,A0A0H3MBH2,,329,,CT865,TC0256,Alpha fucosidase A-like C-terminal domain-containing protein,37.5,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,21,ND,Constitutive,,,,A0A0H3MBH2,,,,,,,,,,,
glgB CTL0245,CTL0245,237,B0B998,glgB,738,,CT866,TC0257,"1,4-alpha-glucan branching enzyme GlgB (EC 2.4.1.18) (1,4-alpha-D-glucan:1,4-alpha-D-glucan 6-glucosyl-transferase) (Alpha-(1->4)-glucan branching enzyme) (Glycogen branching enzyme) (BE)",84.6,Inermediary metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,"Glycosyl hydrolase 13 family, GlgB subfamily",ND,ND,Constitutive,,,,B0B998,,,,glycogen biosynthetic process [GO:0005978],,"1,4-alpha-glucan branching enzyme activity [GO:0003844]; 1,4-alpha-glucan branching enzyme activity (using a glucosylated glycogenin as primer for glycogen synthesis) [GO:0102752]; cation binding [GO:0043169]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]",,Monomer. {ECO:0000255|HAMAP-Rule:MF_00685}.,,,
cdu2 CTL0246,CTL0246,238,B0B999,cdu2,339,,CT867,TC0258,Deubiquitinase and deneddylase Dub2 (ChlaDub2) (EC 3.4.22.-),38.4,Secreted effector,TRUE,FALSE,FALSE,TRUE,FALSE,Peptidase C48 family,ND,ND,Constitutive,6MRN;6OAM;,6MRN,https://cdn.rcsb.org/images/structures/6mrn_assembly-1.jpeg,B0B999,,,,protein deneddylation [GO:0000338]; protein deubiquitination [GO:0016579]; proteolysis [GO:0006508],extracellular region [GO:0005576]; host cell [GO:0043657]; membrane [GO:0016020],cysteine-type deubiquitinase activity [GO:0004843]; deNEDDylase activity [GO:0019784],"Secreted {ECO:0000250}. Host cell {ECO:0000250}. Membrane {ECO:0000250}; Single-pass membrane protein {ECO:0000250}. Note=Secreted, and delivered into the host cell. {ECO:0000250}.",,,,
cdu1 CTL0247,CTL0247,239,B0B9A0,cdu1,401,,CT868,TC0260,Deubiquitinase and deneddylase Dub1 (ChlaDub1) (EC 3.4.22.-),45.0,Secreted effector,TRUE,FALSE,FALSE,TRUE,FALSE,Peptidase C48 family,5,22,Late,5B5Q;5HAG;6FDK;6FDQ;6FDU;6GZS;6GZT;,5B5Q,https://cdn.rcsb.org/images/structures/5b5q_assembly-1.jpeg,B0B9A0,,,,protein deneddylation [GO:0000338]; protein deubiquitination [GO:0016579]; proteolysis [GO:0006508],extracellular region [GO:0005576]; host cell [GO:0043657]; membrane [GO:0016020],cysteine-type deubiquitinase activity [GO:0004843]; deNEDDylase activity [GO:0019784],"Secreted {ECO:0000269|PubMed:18503636}. Host cell {ECO:0000269|PubMed:18503636}. Membrane {ECO:0000269|PubMed:18503636}; Single-pass membrane protein {ECO:0000269|PubMed:18503636}. Note=Secreted, and delivered into the host cell. Located predominantly on the plasma membrane and to a lesser extent on intracellular membranes, especially the host cell nuclear envelope.",Binds to host NFKBIA.,,,
pmpE CTL0248,CTL0248,240,A0A0H3MB21,pmpE,965,,CT869,TC0261,Polymorphic outer membrane protein,104.7,Cell envelope,TRUE,FALSE,FALSE,FALSE,FALSE,PMP outer membrane protein family,124,34,Late,,,,A0A0H3MB21,,,,,cell outer membrane [GO:0009279]; extracellular region [GO:0005576],,"Cell outer membrane {ECO:0000256|ARBA:ARBA00004416}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004416}; Extracellular side {ECO:0000256|ARBA:ARBA00004416}. Secreted, cell wall {ECO:0000256|ARBA:ARBA00004191}.",,,,
pmpF CTL0249,CTL0249,241,A0A0H3MGI5,pmpF,1032,,CT870,TC0262,Polymorphic outer membrane protein,112.5,Cell envelope,TRUE,FALSE,FALSE,FALSE,FALSE,PMP outer membrane protein family,70,ND,Mid_Late,,,,A0A0H3MGI5,,,,,cell outer membrane [GO:0009279]; extracellular region [GO:0005576],,"Cell outer membrane {ECO:0000256|ARBA:ARBA00004416}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004416}; Extracellular side {ECO:0000256|ARBA:ARBA00004416}. Secreted, cell wall {ECO:0000256|ARBA:ARBA00004191}.",,,,
pmpG CTL0250,CTL0250,242,A0A0H3MCS2,pmpG,1012,,CT871,TC0263,Polymorphic outer membrane protein,107.2,Cell envelope,TRUE,FALSE,FALSE,FALSE,FALSE,PMP outer membrane protein family,176,45,Mid_Late,,,,A0A0H3MCS2,,,,,cell outer membrane [GO:0009279]; extracellular region [GO:0005576],,"Cell outer membrane {ECO:0000256|ARBA:ARBA00004416}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004416}; Extracellular side {ECO:0000256|ARBA:ARBA00004416}. Secreted, cell wall {ECO:0000256|ARBA:ARBA00004191}.",,,,
pmpH CTL0251,CTL0251,243,A0A0H3MKB6,pmpH,1006,,CT872,TC0264,Polymorphic outer membrane protein,107.3,Cell envelope,TRUE,FALSE,FALSE,FALSE,FALSE,PMP outer membrane protein family,115,60,Mid_Late,,,,A0A0H3MKB6,,,,,cell outer membrane [GO:0009279]; extracellular region [GO:0005576],,"Cell outer membrane {ECO:0000256|ARBA:ARBA00004416}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004416}; Extracellular side {ECO:0000256|ARBA:ARBA00004416}. Secreted, cell wall {ECO:0000256|ARBA:ARBA00004191}.",,,,
 CTL0252,CTL0252,244,A0A0H3MBH5,,198,,CT873,TC0266,Uncharacterized protein,22.1,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,ND,ND,Constitutive,,,,A0A0H3MBH5,,,,,,,,,,,
pmpI CTL0254,CTL0254,245,A0A0H3MB26,pmpI,878,,CT874,TC0267,Polymorphic outer membrane protein,95.5,Cell envelope,TRUE,FALSE,FALSE,FALSE,FALSE,PMP outer membrane protein family,ND,201,Mid_Late,,,,A0A0H3MB26,,,,,cell outer membrane [GO:0009279]; extracellular region [GO:0005576],,"Cell outer membrane {ECO:0000256|ARBA:ARBA00004416}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004416}; Extracellular side {ECO:0000256|ARBA:ARBA00004416}. Secreted, cell wall {ECO:0000256|ARBA:ARBA00004191}.",,,,
 CTL0255,CTL0255,246,A0A0H3MGJ2,,590,,CT875,TC0268,Uncharacterized protein,65.8,Secreted effector,FALSE,FALSE,FALSE,TRUE,FALSE,,231,ND,Late,,,,A0A0H3MGJ2,,,,,,,,,,,
 CTL0256,CTL0256,247,A0A0H3MCS7,,90,,CT001,TC0269,Membrane protein,9.8,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,NQ,ND,Late,,,,A0A0H3MCS7,,,,,membrane [GO:0016020],,,,,,
gatC CTL0257,CTL0257,248,B0B9A9,gatC,100,,CT002,TC0270,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C (Asp/Glu-ADT subunit C) (EC 6.3.5.-),11.1,Translation,FALSE,FALSE,FALSE,FALSE,FALSE,GatC family,19,ND,Constitutive,,,,B0B9A9,,,,regulation of translational fidelity [GO:0006450]; translation [GO:0006412],,asparaginyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050566]; ATP binding [GO:0005524]; glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050567],,"Heterotrimer of A, B and C subunits. {ECO:0000255|HAMAP-Rule:MF_00122}.",,,
gatA CTL0258,CTL0258,249,B0B9B0,gatA,491,,CT003,TC0271,Glutamyl-tRNA(Gln) amidotransferase subunit A (Glu-ADT subunit A) (EC 6.3.5.7),53.6,Translation,FALSE,FALSE,FALSE,FALSE,FALSE,"Amidase family, GatA subfamily",119,76,Constitutive,,,,B0B9B0,,,,translation [GO:0006412],glutamyl-tRNA(Gln) amidotransferase complex [GO:0030956],ATP binding [GO:0005524]; glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050567],,"Heterotrimer of A, B and C subunits. {ECO:0000255|HAMAP-Rule:MF_00120}.",,,
gatB CTL0259,CTL0259,250,B0B9B1,gatB,488,,CT004,TC0272,Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B (Asp/Glu-ADT subunit B) (EC 6.3.5.-),55.0,Translation,FALSE,FALSE,FALSE,FALSE,FALSE,"GatB/GatE family, GatB subfamily",84,40,Constitutive,,,,B0B9B1,,,,translation [GO:0006412],,asparaginyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050566]; ATP binding [GO:0005524]; glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity [GO:0050567],,"Heterotrimer of A, B and C subunits. {ECO:0000255|HAMAP-Rule:MF_00121}.",,,
 CTL0260,CTL0260,251,A0A0H3MKC1,,363,,CT005,TC0273,Membrane protein,39.6,Inclusion membrane protein,TRUE,FALSE,FALSE,TRUE,TRUE,,13,ND,Late,,,,A0A0H3MKC1,,,,,membrane [GO:0016020],,,,,,
 CTL0261,CTL0261,252,A0A0H3MBH8,,189,,CT006,TC0274,Membrane protein,20.2,Inclusion membrane protein,TRUE,FALSE,FALSE,TRUE,TRUE,,ND,ND,Constitutive,,,,A0A0H3MBH8,,,,,membrane [GO:0016020],,,,,,
 CTL0262,CTL0262,253,A0A0H3MB32,,316,,CT007,TC0275,Uncharacterized protein,35.5,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,NQ,ND,Constitutive,,,,A0A0H3MB32,,,,,,,,,,,
rnhC CTL0263,CTL0263,254,B0B9B5,rnhC,300,,CT008,TC0276,Ribonuclease HIII (RNase HIII) (EC 3.1.26.4),33.1,Transcription,FALSE,FALSE,TRUE,FALSE,FALSE,"RNase HII family, RnhC subfamily",NQ,ND,Constitutive,,,,B0B9B5,,,,RNA catabolic process [GO:0006401],cytoplasm [GO:0005737],magnesium ion binding [GO:0000287]; RNA binding [GO:0003723]; RNA-DNA hybrid ribonuclease activity [GO:0004523],Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00053}.,,,,
 CTL0264,CTL0264,255,A0A0H3MGJ5,,143,,CT009,TC0277,HTH cro/C1-type domain-containing protein,16.2,Transcription,FALSE,FALSE,TRUE,FALSE,FALSE,,ND,ND,Constitutive,,4GQM,https://cdn.rcsb.org/images/structures/4gqm_assembly-1.jpeg,A0A0H3MGJ5,,,,,membrane [GO:0016020],DNA binding [GO:0003677],,,,,
htrB CTL0265,CTL0265,256,A0A0H3MCT2,htrB,455,,CT010,TC0278,Lipid A biosynthesis lauroyl acyltransferase,52.1,Lipid metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,,ND,ND,Constitutive,,,,A0A0H3MCT2,,,,glycolipid biosynthetic process [GO:0009247],plasma membrane [GO:0005886],acyltransferase activity [GO:0016746],,,,,
 CTL0266,CTL0266,257,A0A0H3MKC9,,418,,CT011,TC0279,Exported protein,48.1,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,64,98,ND,,,,A0A0H3MKC9,,,,,membrane [GO:0016020],,,,,,
dacA CTL0267,CTL0267,258,A0A0H3MBI1,dacA,264,,CT012,TC0280,Diadenylate cyclase (DAC) (EC 2.7.7.85) (Cyclic-di-AMP synthase) (c-di-AMP synthase),30.0,Nucleotide metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,"Adenylate cyclase family, DacA/CdaA subfamily",24,NQ,Constitutive,,,,A0A0H3MBI1,,,,cAMP biosynthetic process [GO:0006171]; second-messenger-mediated signaling [GO:0019932],plasma membrane [GO:0005886],adenylate cyclase activity [GO:0004016]; ATP binding [GO:0005524]; diadenylate cyclase activity [GO:0106408],,Probably a homodimer. {ECO:0000256|HAMAP-Rule:MF_01499}.,,,
cydA CTL0268,CTL0268,259,A0A0H3MB37,cydA,446,,CT013,TC0281,Cytochrome d ubiquinol oxidase subunit I,50.2,Energy metabolism,TRUE,FALSE,FALSE,FALSE,FALSE,Cytochrome ubiquinol oxidase subunit 1 family,9,84,Mid_Late,,,,A0A0H3MB37,,,,aerobic electron transport chain [GO:0019646],cytochrome complex [GO:0070069]; plasma membrane [GO:0005886],electron transfer activity [GO:0009055]; metal ion binding [GO:0046872],Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.,,,,
cydB CTL0269,CTL0269,260,A0A0H3MGK0,cydB,353,,CT014,TC0282,Cytochrome d ubiquinol oxidase subunit II,39.6,Energy metabolism,TRUE,FALSE,FALSE,FALSE,FALSE,Cytochrome ubiquinol oxidase subunit 2 family,ND,ND,Mid_Late,,,,A0A0H3MGK0,,,,,plasma membrane [GO:0005886],metal ion binding [GO:0046872],Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.,,,,
 CTL0270,CTL0270,261,A0A0H3MCT8,,434,,CT015,TC0283,PIN domain-containing protein,48.8,Other,FALSE,FALSE,FALSE,FALSE,FALSE,,21,ND,Constitutive,,,,A0A0H3MCT8,,,,,,ATP binding [GO:0005524],,,,,
