FullGeneName,GeneID,SortIndex,Uniprot ID,GeneName,Length (bp),PZ,OrthologID_D,OrthologID_L2,Product,Mass (kD),Function,Mem true,Hyp true,DNA true,Secr true,Inc true,Protein Family,PDB ID,PDB,PDBImageURL,AlphaFold ID,AFImageURL,Version,Structural homology (Foldseek),Biological Process,Cellular Component,Molecular Function,Subcellular Location,Subunit Structure,LastEdited,EditedByName,Favorite
murC/ddl TC0143,TC0143,136,Q9PLG1,murC/ddl,802,,CT762,CTL0131,Bifunctional enzyme MurC/Ddl [Includes: UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase); D-alanine--D-alanine ligase (EC 6.3.2.4) (D-Ala-D-Ala ligase) (D-alanylalanine synthetase)],88.7,Cell envelope,FALSE,FALSE,FALSE,FALSE,FALSE,MurCDEF family; D-alanine--D-alanine ligase family,,,,Q9PLG1,,,,cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360],cytoplasm [GO:0005737],ATP binding [GO:0005524]; D-alanine-D-alanine ligase activity [GO:0008716]; metal ion binding [GO:0046872]; UDP-N-acetylmuramate-L-alanine ligase activity [GO:0008763],Cytoplasm {ECO:0000250}.,,,,
khpA TC0144,TC0144,137,Q9PLG0,khpA,137,,CT763,CTL0132,RNA-binding protein KhpA (KH-domain protein A),14.9,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,KhpA RNA-binding protein family,,,,Q9PLG0,,,,,cytoplasm [GO:0005737],RNA binding [GO:0003723],Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00088}.,,,,
 TC0145,TC0145,138,Q9PLF9,,259,,CT764,CTL0133,Cell division protein FtsQ,29.3,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PLF9,,,,,membrane [GO:0016020],,,,,,
 TC0146,TC0146,139,Q9PLF8,,110,,CT765,CTL0134,Anti-sigma factor antagonist,12.4,Transcription,FALSE,FALSE,TRUE,FALSE,FALSE,Anti-sigma-factor antagonist family,,,,Q9PLF8,,,,,,anti-sigma factor antagonist activity [GO:0043856],,,,,
miaA TC0147,TC0147,140,Q9PLF7,miaA,314,,CT766,CTL0135,tRNA dimethylallyltransferase (EC 2.5.1.75) (Dimethylallyl diphosphate:tRNA dimethylallyltransferase) (DMAPP:tRNA dimethylallyltransferase) (DMATase) (Isopentenyl-diphosphate:tRNA isopentenyltransferase) (IPP transferase) (IPPT) (IPTase),35.4,Translation,FALSE,FALSE,FALSE,FALSE,FALSE,IPP transferase family,,,,Q9PLF7,,,,tRNA processing [GO:0008033],,ATP binding [GO:0005524]; tRNA dimethylallyltransferase activity [GO:0052381],,Monomer. {ECO:0000255|HAMAP-Rule:MF_00185}.,,,
mqnC TC0148,TC0148,141,Q9PLF6,mqnC,354,,CT767,CTL0136,Cyclic dehypoxanthine futalosine synthase (Cyclic DHFL synthase) (EC 1.21.98.1) (Dehypoxanthine futalosine cyclase) (DHFL cyclase) (Menaquinone biosynthetic enzyme MqnC),40.3,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,"Radical SAM superfamily, MqnC family",,,,Q9PLF6,,,,menaquinone biosynthetic process [GO:0009234],,"4 iron, 4 sulfur cluster binding [GO:0051539]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on X-H and Y-H to form an X-Y bond [GO:0046992]; transferase activity, transferring alkyl or aryl (other than methyl) groups [GO:0016765]",,,,,
 TC0149,TC0149,142,Q9PLF5,,564,,CT768,CTL0137,Myosin heavy chain,65.0,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PLF5,,,,,,,,,,,
rsfS TC0150,TC0150,143,Q9PLF4,rsfS,119,,CT769,CTL0138,Ribosomal silencing factor RsfS,13.3,Cell processes,FALSE,FALSE,FALSE,FALSE,FALSE,Iojap/RsfS family,,,,Q9PLF4,,,,cytosolic ribosome assembly [GO:0042256]; negative regulation of ribosome biogenesis [GO:0090071]; negative regulation of translation [GO:0017148],cytoplasm [GO:0005737],,Cytoplasm {ECO:0000256|HAMAP-Rule:MF_01477}.,Interacts with ribosomal protein uL14 (rplN). {ECO:0000256|HAMAP-Rule:MF_01477}.,,,
fabF TC0151,TC0151,144,Q9PLF3,fabF,418,,CT770,CTL0139,3-oxoacyl-[acyl-carrier-protein] synthase 2 (EC 2.3.1.179),44.9,Lipid metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,"Thiolase-like superfamily, Beta-ketoacyl-ACP synthases family",,,,Q9PLF3,,,,fatty acid biosynthetic process [GO:0006633],,3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315],,,,,
 TC0152,TC0152,145,Q9PLF2,,150,,CT771,CTL0140,MutT/Nudix family protein,17.4,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,Nudix hydrolase family,,,,Q9PLF2,,,,,,hydrolase activity [GO:0016787],,,,,
ppa TC0153,TC0153,146,Q9PLF1,ppa,209,,CT772,CTL0141,Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase),23.3,Inermediary metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,PPase family,,,,Q9PLF1,,,,phosphate-containing compound metabolic process [GO:0006796],cytoplasm [GO:0005737],inorganic diphosphate phosphatase activity [GO:0004427]; magnesium ion binding [GO:0000287],Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00209}.,Homohexamer. {ECO:0000255|HAMAP-Rule:MF_00209}.,,,
 TC0154,TC0154,147,Q9PLF0,,346,,CT773,CTL0142,Glu/Leu/Phe/Val dehydrogenase family protein,37.3,Amino acid metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,Glu/Leu/Phe/Val dehydrogenases family,,,,Q9PLF0,,,,amino acid metabolic process [GO:0006520],,"nucleotide binding [GO:0000166]; oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor [GO:0016639]",,,,,
 TC0155,TC0155,148,Q9PLE9,,349,,CT774,CTL0143,"3`(2`),5`-bisphosphate nucleotidase, putative",39.8,Inermediary metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,Inositol monophosphatase superfamily,,,,Q9PLE9,,,,,,metal ion binding [GO:0046872]; phosphatase activity [GO:0016791],,,,,
 TC0156,TC0156,149,Q9PLE8,,253,,CT775,CTL0144,Phospholipid/glycerol acyltransferase domain-containing protein,28.8,Lipid metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Q9PLE8,,,,,,acyltransferase activity [GO:0016746],,,,,
 TC0157,TC0157,150,Q9PLE7,,537,,CT776,CTL0145,"Aas bifunctional protein, putative",59.6,Lipid metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Q9PLE7,,,,,,,,,,,
 TC0158,TC0158,151,Q9PLE6,,375,,CT777,CTL0146,8-amino-7-oxononanoate synthase (EC 2.3.1.47),41.1,Cofactor metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Q9PLE6,,,,biosynthetic process [GO:0009058],,pyridoxal phosphate binding [GO:0030170],,,,,
priA TC0159,TC0159,152,Q9PLE5,priA,753,,CT778,CTL0147,Primosomal protein N' (EC 3.6.4.-) (ATP-dependent helicase PriA),84.8,Replication,FALSE,FALSE,TRUE,FALSE,FALSE,"Helicase family, PriA subfamily",,,,Q9PLE5,,,,"DNA replication, synthesis of RNA primer [GO:0006269]; DNA unwinding involved in DNA replication [GO:0006268]",primosome complex [GO:1990077],ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; hydrolase activity [GO:0016787]; zinc ion binding [GO:0008270],,Component of the primosome. {ECO:0000255|HAMAP-Rule:MF_00983}.,,,
 TC0160,TC0160,153,Q9PLE4,,250,,CT779,CTL0148,Uncharacterized protein,28.3,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PLE4,,,,,,,,,,,
 TC0161,TC0161,154,Q9PLE3,,165,,CT780,CTL0149,Thioredoxin domain-containing protein,18.8,Translation,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Q9PLE3,,,,,,,,,,,
 TC0162,TC0162,155,Q9PLE2,,36,,,,Uncharacterized protein,4.3,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PLE2,,,,,,,,,,,
lysS TC0163,TC0163,156,Q9PLE1,lysS,524,,CT781,CTL0150,Lysine--tRNA ligase (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS),60.1,Translation,FALSE,FALSE,FALSE,FALSE,FALSE,Class-II aminoacyl-tRNA synthetase family,,,,Q9PLE1,,,,lysyl-tRNA aminoacylation [GO:0006430],cytoplasm [GO:0005737],ATP binding [GO:0005524]; lysine-tRNA ligase activity [GO:0004824]; magnesium ion binding [GO:0000287]; nucleic acid binding [GO:0003676],Cytoplasm {ECO:0000250}.,Homodimer. {ECO:0000250}.,,,
cysS TC0164,TC0164,157,Q9PLE0,cysS,475,,CT782,CTL0151,Cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS),54.6,Translation,FALSE,FALSE,FALSE,FALSE,FALSE,Class-I aminoacyl-tRNA synthetase family,,,,Q9PLE0,,,,cysteinyl-tRNA aminoacylation [GO:0006423],cytoplasm [GO:0005737],ATP binding [GO:0005524]; cysteine-tRNA ligase activity [GO:0004817]; zinc ion binding [GO:0008270],Cytoplasm {ECO:0000250}.,Monomer. {ECO:0000250}.,,,
 TC0165,TC0165,158,Q9PLD9,,55,,,,Uncharacterized protein,6.6,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PLD9,,,,,,,,,,,
 TC0166,TC0166,159,Q9PLD8,,350,,CT783,CTL0152,Disulfide bond isomerase,39.8,Translation,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Q9PLD8,,,,,,,,,,,
rnpA TC0167,TC0167,160,Q9PLD7,rnpA,119,,CT784,CTL0153,Ribonuclease P protein component (RNase P protein) (RNaseP protein) (EC 3.1.26.5) (Protein C5),13.6,Transcription,FALSE,FALSE,TRUE,FALSE,FALSE,RnpA family,,,,Q9PLD7,,,,tRNA 5'-leader removal [GO:0001682],,ribonuclease P activity [GO:0004526]; tRNA binding [GO:0000049],,Consists of a catalytic RNA component (M1 or rnpB) and a protein subunit. {ECO:0000255|HAMAP-Rule:MF_00227}.,,,
rpmH TC0168,TC0168,161,Q9PLD6,rpmH,45,,,CTL0153A,Large ribosomal subunit protein bL34 (50S ribosomal protein L34),5.4,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,Bacterial ribosomal protein bL34 family,,,,Q9PLD6,,,,translation [GO:0006412],ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840],structural constituent of ribosome [GO:0003735],,,,,
rpmJ TC0169,TC0169,162,P66289,rpmJ,45,,CT786,CTL0154,Large ribosomal subunit protein bL36 (50S ribosomal protein L36),5.2,Translation,FALSE,FALSE,FALSE,FALSE,FALSE,Bacterial ribosomal protein bL36 family,,,,P66289,,,,translation [GO:0006412],ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840],structural constituent of ribosome [GO:0003735],,,,,
rpsN TC0170,TC0170,163,Q9PLD4,rpsN,101,,CT787,CTL0155,Small ribosomal subunit protein uS14 (30S ribosomal protein S14),11.7,Translation,FALSE,FALSE,FALSE,FALSE,FALSE,Universal ribosomal protein uS14 family,,,,Q9PLD4,,,,translation [GO:0006412],cytoplasm [GO:0005737]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840],rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735],,Part of the 30S ribosomal subunit. Contacts proteins S3 and S10. {ECO:0000255|HAMAP-Rule:MF_00537}.,,,
 TC0171,TC0171,164,Q9PLD3,,166,,CT788,CTL0156,GYF domain-containing protein,19.0,Inclusion membrane protein,TRUE,FALSE,FALSE,TRUE,TRUE,,,,,Q9PLD3,,,,,membrane [GO:0016020],,,,,,
 TC0172,TC0172,165,Q9PLD2,,164,,CT790,CTL0158,Asp23/Gls24 family envelope stress response protein,18.2,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,Asp23 family,,,,Q9PLD2,,,,,,,,,,,
uvrC TC0173,TC0173,166,Q9PLD1,uvrC,598,,CT791,CTL0159,UvrABC system protein C (Protein UvrC) (Excinuclease ABC subunit C),68.5,Replication,FALSE,FALSE,TRUE,FALSE,FALSE,UvrC family,,,,Q9PLD1,,,,nucleotide-excision repair [GO:0006289]; SOS response [GO:0009432],cytoplasm [GO:0005737]; excinuclease repair complex [GO:0009380],DNA binding [GO:0003677]; excinuclease ABC activity [GO:0009381],Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00203}.,Interacts with UvrB in an incision complex. {ECO:0000255|HAMAP-Rule:MF_00203}.,,,
mutS TC0174,TC0174,167,Q9PLD0,mutS,820,,CT792,CTL0160,DNA mismatch repair protein MutS,92.2,Replication,FALSE,FALSE,TRUE,FALSE,FALSE,DNA mismatch repair MutS family,,,,Q9PLD0,,,,mismatch repair [GO:0006298],,ATP binding [GO:0005524]; ATP-dependent DNA damage sensor activity [GO:0140664]; damaged DNA binding [GO:0003684]; mismatched DNA binding [GO:0030983],,,,,
dnaG TC0175,TC0175,168,Q9PLC9,dnaG,600,,CT794,CTL0162,DNA primase (EC 2.7.7.101),68.8,Replication,FALSE,FALSE,TRUE,FALSE,FALSE,DnaG primase family,,,,Q9PLC9,,,,,DNA-directed RNA polymerase complex [GO:0000428]; primosome complex [GO:1990077],DNA binding [GO:0003677]; DNA primase activity [GO:0003896]; zinc ion binding [GO:0008270],,Monomer. Interacts with DnaB. {ECO:0000255|HAMAP-Rule:MF_00974}.,,,
 TC0176,TC0176,169,Q9PLC8,,92,,,CTL0163,Outer membrane protein,9.7,Unknown,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PLC8,,,,,,,,,,,
 TC0177,TC0177,170,Q9PLC7,,164,,CT795,CTL0164,TPM domain-containing protein,18.4,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PLC7,,,,,,,,,,,
glyQS TC0178,TC0178,171,Q9PLC6,glyQS,1003,,CT796,CTL0165,Glycine--tRNA ligase (Glycyl-tRNA synthetase) (GlyRS) (EC 6.1.1.14) [Includes: Glycine--tRNA ligase alpha subunit (Glycyl-tRNA synthetase alpha subunit); Glycine--tRNA ligase beta subunit (Glycyl-tRNA synthetase beta subunit)],112.8,Translation,FALSE,FALSE,FALSE,FALSE,FALSE,Class-II aminoacyl-tRNA synthetase family,,,,Q9PLC6,,,,arginyl-tRNA aminoacylation [GO:0006420]; glycyl-tRNA aminoacylation [GO:0006426],cytoplasm [GO:0005737],arginine-tRNA ligase activity [GO:0004814]; ATP binding [GO:0005524]; glycine-tRNA ligase activity [GO:0004820]; protein dimerization activity [GO:0046983],Cytoplasm {ECO:0000250}.,,,,
 TC0179,TC0179,172,Q9PLC5,,40,,,,Uncharacterized protein,4.7,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PLC5,,,,,,,,,,,
pgsA TC0180,TC0180,173,Q9PLC4,pgsA,202,,CT797,CTL0166,CDP-diacylglycerol--glycerol-3-phosphate 1-phosphatidyltransferase (EC 2.7.8.5),22.6,Lipid metabolism,TRUE,FALSE,FALSE,FALSE,FALSE,CDP-alcohol phosphatidyltransferase class-I family,,,,Q9PLC4,,,,phospholipid biosynthetic process [GO:0008654],membrane [GO:0016020],CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase activity [GO:0008444],Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.,,,,
glgA TC0181,TC0181,174,Q9PLC3,glgA,474,,CT798,CTL0167,Glycogen synthase (EC 2.4.1.21) (Starch [bacterial glycogen] synthase),53.2,Inermediary metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,"Glycosyltransferase 1 family, Bacterial/plant glycogen synthase subfamily",,,,Q9PLC3,,,,glycogen biosynthetic process [GO:0005978],,"alpha-1,4-glucan synthase activity [GO:0033201]; glycogen (starch) synthase activity [GO:0004373]; starch synthase activity [GO:0009011]",,,,,
rplY TC0182,TC0182,175,Q9PLC2,rplY,185,,CT799,CTL0168,Large ribosomal subunit protein bL25 (50S ribosomal protein L25) (General stress protein CTC),20.7,Translation,FALSE,FALSE,FALSE,FALSE,FALSE,"Bacterial ribosomal protein bL25 family, CTC subfamily",,,,Q9PLC2,,,,translation [GO:0006412],ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840],5S rRNA binding [GO:0008097]; structural constituent of ribosome [GO:0003735],,Part of the 50S ribosomal subunit; part of the 5S rRNA/L5/L18/L25 subcomplex. Contacts the 5S rRNA. Binds to the 5S rRNA independently of L5 and L18. {ECO:0000255|HAMAP-Rule:MF_01334}.,,,
pth TC0183,TC0183,176,P49607,pth,179,,CT800,CTL0169,Peptidyl-tRNA hydrolase (PTH) (EC 3.1.1.29),19.9,Translation,FALSE,FALSE,FALSE,FALSE,FALSE,PTH family,,,,P49607,,,,translation [GO:0006412],cytoplasm [GO:0005737],aminoacyl-tRNA hydrolase activity [GO:0004045],Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00083}.,Monomer. {ECO:0000255|HAMAP-Rule:MF_00083}.,,,
rpsF TC0184,TC0184,177,Q9PLC1,rpsF,112,,CT801,CTL0170,Small ribosomal subunit protein bS6 (30S ribosomal protein S6),12.9,Translation,FALSE,FALSE,FALSE,FALSE,FALSE,Bacterial ribosomal protein bS6 family,,,,Q9PLC1,,,,translation [GO:0006412],cytoplasm [GO:0005737]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840],rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735],,,,,
rpsR TC0185,TC0185,178,P24286,rpsR,81,,CT802,CTL0171,Small ribosomal subunit protein bS18 (30S ribosomal protein S18),9.4,Translation,FALSE,FALSE,FALSE,FALSE,FALSE,Bacterial ribosomal protein bS18 family,,,,P24286,,,,translation [GO:0006412],ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840],rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735],,Part of the 30S ribosomal subunit. Forms a tight heterodimer with protein bS6. {ECO:0000255|HAMAP-Rule:MF_00270}.,,,
rplI TC0186,TC0186,179,Q46398,rplI,167,,CT803,CTL0172,Large ribosomal subunit protein bL9 (50S ribosomal protein L9),18.4,Translation,FALSE,FALSE,FALSE,FALSE,FALSE,Bacterial ribosomal protein bL9 family,,,,Q46398,,,,translation [GO:0006412],ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840],rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735],,,,,
ispE TC0187,TC0187,180,Q9PLC0,ispE,283,,CT804,CTL0173,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (CMK) (EC 2.7.1.148) (4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol kinase),31.4,Inermediary metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,"GHMP kinase family, IspE subfamily",,,,Q9PLC0,,,,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; phosphorylation [GO:0016310]; terpenoid biosynthetic process [GO:0016114]",,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity [GO:0050515]; ATP binding [GO:0005524],,,,,
 TC0188,TC0188,181,Q9PLB9,,47,,,,Uncharacterized protein,5.4,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PLB9,,,,,,,,,,,
 TC0189,TC0189,182,Q9PLB8,,450,,CT805,CTL0174,Integral membrane protein,52.2,Unknown,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PLB8,,,,,membrane [GO:0016020],,,,,,
 TC0190,TC0190,183,Q9PLB7,,939,,CT806,CTL0175,Protease 3 (EC 3.4.24.55) (Pitrilysin) (Protease III) (Protease pi),106.8,Cell processes,FALSE,FALSE,FALSE,FALSE,FALSE,Peptidase M16 family,,,,Q9PLB7,,,,proteolysis [GO:0006508],,metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222],,,,,
 TC0191,TC0191,184,Q9PLB6,,42,,,,Uncharacterized protein,5.1,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PLB6,,,,,,,,,,,
 TC0192,TC0192,185,Q9PLB5,,338,,CT807,CTL0176,"Glycerol-3-phosphate acyltransferase, putative",39.0,Lipid metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Q9PLB5,,,,glycerophospholipid metabolic process [GO:0006650],,glycerol-3-phosphate O-acyltransferase activity [GO:0004366],,,,,
cafA TC0193,TC0193,186,Q9PLB4,cafA,512,,CT808,CTL0177,Ribonuclease G,59.3,Transcription,FALSE,FALSE,TRUE,FALSE,FALSE,"RNase E/G family, RNase G subfamily",,,,Q9PLB4,,,,RNA processing [GO:0006396],cytoplasm [GO:0005737],metal ion binding [GO:0046872]; RNA binding [GO:0003723]; RNA nuclease activity [GO:0004540],Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.,,,,
 TC0194,TC0194,187,Q9PLB3,,146,,CT809,CTL0178,DUF177 domain-containing protein,17.0,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PLB3,,,,,,,,,,,
rpmF TC0195,TC0195,188,Q9PLB2,rpmF,59,,CT810,CTL0181,Large ribosomal subunit protein bL32 (50S ribosomal protein L32),6.5,Translation,FALSE,FALSE,FALSE,FALSE,FALSE,Bacterial ribosomal protein bL32 family,,,,Q9PLB2,,,,translation [GO:0006412],large ribosomal subunit [GO:0015934],structural constituent of ribosome [GO:0003735],,,,,
plsX TC0196,TC0196,189,Q9PLB1,plsX,319,,CT811,CTL0182,Phosphate acyltransferase (EC 2.3.1.274) (Acyl-ACP phosphotransacylase) (Acyl-[acyl-carrier-protein]--phosphate acyltransferase) (Phosphate-acyl-ACP acyltransferase),34.2,Lipid metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,PlsX family,,,,Q9PLB1,,,,fatty acid biosynthetic process [GO:0006633]; phospholipid biosynthetic process [GO:0008654],cytoplasm [GO:0005737],phosphate:acyl-[acyl carrier protein] acyltransferase activity [GO:0043811],Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00019}. Note=Associated with the membrane possibly through PlsY. {ECO:0000255|HAMAP-Rule:MF_00019}.,Homodimer. Probably interacts with PlsY. {ECO:0000255|HAMAP-Rule:MF_00019}.,,,
pmpD TC0197,TC0197,190,Q9PLB0,pmpD,1520,,CT812,CTL0183,Probable outer membrane protein PmpD (Polymorphic membrane protein D),162.1,Cell envelope,TRUE,FALSE,FALSE,FALSE,FALSE,PMP outer membrane protein family,,,,Q9PLB0,,,,,cell outer membrane [GO:0009279]; extracellular region [GO:0005576],,"Secreted, cell wall. Cell outer membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}; Extracellular side {ECO:0000305}.",,,,
 TC0198,TC0198,191,Q9PLA9,,57,,,,Uncharacterized protein,6.7,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PLA9,,,,,,,,,,,
 TC0199,TC0199,192,Q9PLA8,,215,,CT813,CTL0184,Inclusion membrane protein,23.4,Inclusion membrane protein,TRUE,FALSE,FALSE,TRUE,TRUE,,,,,Q9PLA8,,,,,membrane [GO:0016020],,,,,,
 TC0200,TC0200,193,Q9PLA7,,99,,,CTL0185,YtxH domain-containing protein,11.4,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PLA7,,,,,membrane [GO:0016020],,,,,,
 TC0201,TC0201,194,Q9PLA6,,120,,CT814,CTL0186,Membrane associated protein,13.8,Unknown,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,Q9PLA6,,,,,membrane [GO:0016020],,,,,,
glmM TC0202,TC0202,195,Q9PLA5,glmM,459,,CT815,CTL0187,Phosphoglucosamine mutase (EC 5.4.2.10),49.4,Energy metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,Phosphohexose mutase family,,,,Q9PLA5,,,,carbohydrate metabolic process [GO:0005975],,magnesium ion binding [GO:0000287]; phosphoglucosamine mutase activity [GO:0008966],,,,,
glmS TC0203,TC0203,196,Q9PLA4,glmS,606,,CT816,CTL0188,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (GFAT) (Glucosamine-6-phosphate synthase) (Hexosephosphate aminotransferase) (L-glutamine--D-fructose-6-phosphate amidotransferase),67.6,Energy metabolism,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,Q9PLA4,,,,carbohydrate derivative biosynthetic process [GO:1901137]; carbohydrate metabolic process [GO:0005975]; glutamine metabolic process [GO:0006541],cytoplasm [GO:0005737],carbohydrate derivative binding [GO:0097367]; glutamine-fructose-6-phosphate transaminase (isomerizing) activity [GO:0004360],Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00164}.,Homodimer. {ECO:0000255|HAMAP-Rule:MF_00164}.,,,
 TC0204,TC0204,197,Q9PLA3,,398,,CT817,CTL0189,Mtr/TnaB/TyrO permease family protein,44.2,Membrane transport,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,Q9PLA3,,,,,plasma membrane [GO:0005886],aromatic amino acid transmembrane transporter activity [GO:0015173],Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.,,,,
 TC0205,TC0205,198,Q9PLA2,,395,,CT818,CTL0190,Mtr/TnaB/TyrO permease family protein,43.4,Membrane transport,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,Q9PLA2,,,,,plasma membrane [GO:0005886],aromatic amino acid transmembrane transporter activity [GO:0015173],Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.,,,,
 TC0206,TC0206,199,Q9PLA1,,238,,CT819,CTL0191,Uncharacterized protein TC_0206,26.3,Inclusion membrane protein,TRUE,FALSE,FALSE,TRUE,TRUE,BI1 family,,,,Q9PLA1,,,,,plasma membrane [GO:0005886],,Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.,,,,
ftsY TC0207,TC0207,200,Q9PLA0,ftsY,284,,CT820,CTL0192,Signal recognition particle receptor FtsY (SRP receptor) (EC 3.6.5.4),31.2,Cell processes,TRUE,FALSE,FALSE,FALSE,FALSE,"GTP-binding SRP family, FtsY subfamily",,,,Q9PLA0,,,,SRP-dependent cotranslational protein targeting to membrane [GO:0006614],cytoplasm [GO:0005737]; plasma membrane [GO:0005886],ATP hydrolysis activity [GO:0016887]; GTP binding [GO:0005525]; GTPase activity [GO:0003924],Cell inner membrane {ECO:0000256|HAMAP-Rule:MF_00920}; Peripheral membrane protein {ECO:0000256|HAMAP-Rule:MF_00920}; Cytoplasmic side {ECO:0000256|HAMAP-Rule:MF_00920}. Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00920}. Membrane {ECO:0000256|ARBA:ARBA00004287}; Peripheral membrane protein {ECO:0000256|ARBA:ARBA00004287}; Cytoplasmic side {ECO:0000256|ARBA:ARBA00004287}.,"Part of the signal recognition particle protein translocation system, which is composed of SRP and FtsY. {ECO:0000256|HAMAP-Rule:MF_00920}.",,,
